run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-local-yolo,1,000000.jpg,4,metalen_verpakking,0.9391,1776617762.437973,1776617763.944168,1506.19,715,1776617763.946052,1776617763.946397,1776617763.947622,1776617763.947659,1776617763.950171,1.57,0.04,2.51,4.12
steps-local-yolo,2,000001.jpg,1,plastic_verpakking,0.9378,1776617763.958282,1776617764.098417,140.13,367,1776617764.09889,1776617764.099245,1776617764.100483,1776617764.100512,1776617764.103348,1.59,0.03,2.84,4.46
steps-local-yolo,3,000002.jpg,1,plastic_verpakking,0.7975,1776617764.110786,1776617764.234609,123.82,366,1776617764.235501,1776617764.235835,1776617764.237112,1776617764.237141,1776617764.23969,1.61,0.03,2.55,4.19
steps-local-yolo,4,000003.jpg,1,plastic_verpakking,0.935,1776617764.247435,1776617764.368726,121.29,362,1776617764.369235,1776617764.36957,1776617764.371047,1776617764.371122,1776617764.373979,1.81,0.08,2.86,4.74
steps-local-yolo,5,000004.jpg,1,plastic_verpakking,0.8714,1776617764.381116,1776617764.497542,116.43,361,1776617764.498088,1776617764.498407,1776617764.499772,1776617764.499807,1776617764.502439,1.68,0.04,2.63,4.35
steps-local-yolo,6,000005.jpg,1,plastic_verpakking,0.9639,1776617764.510036,1776617764.624764,114.73,364,1776617764.625309,1776617764.625624,1776617764.62683,1776617764.62686,1776617764.629324,1.52,0.03,2.46,4.01
steps-local-yolo,7,000006.jpg,1,plastic_verpakking,0.8271,1776617764.637037,1776617764.766019,128.98,365,1776617764.766528,1776617764.766852,1776617764.768103,1776617764.768133,1776617764.770786,1.58,0.03,2.65,4.26
steps-local-yolo,8,000007.jpg,2,plastic_verpakking,0.9495,1776617764.778247,1776617764.903462,125.22,487,1776617764.904147,1776617764.904442,1776617764.905689,1776617764.905723,1776617764.908473,1.54,0.03,2.75,4.33
steps-local-yolo,9,000009.jpg,0,,,1776617764.915843,1776617765.036548,120.7,246,1776617765.036849,1776617765.037117,1776617765.038355,1776617765.038382,1776617765.040933,1.51,0.03,2.55,4.08
steps-local-yolo,10,000010.jpg,8,plastic_verpakking,0.8824,1776617765.048686,1776617765.16548,116.79,1199,1776617765.167028,1776617765.167388,1776617765.168614,1776617765.168651,1776617765.17124,1.59,0.04,2.59,4.21
steps-local-yolo,11,000011.jpg,2,plastic_verpakking,0.931,1776617765.178707,1776617765.292909,114.2,483,1776617765.293558,1776617765.293857,1776617765.295137,1776617765.295169,1776617765.297806,1.58,0.03,2.64,4.25
steps-local-yolo,12,000012.jpg,3,plastic_verpakking,0.9272,1776617765.305217,1776617765.425083,119.87,604,1776617765.425909,1776617765.426211,1776617765.427491,1776617765.427521,1776617765.430093,1.58,0.03,2.57,4.18
steps-local-yolo,13,000013.jpg,6,metalen_verpakking,0.9585,1776617765.437509,1776617765.556441,118.93,961,1776617765.557967,1776617765.558275,1776617765.559577,1776617765.559621,1776617765.562154,1.61,0.04,2.53,4.19
steps-local-yolo,14,000014.jpg,1,plastic_verpakking,0.8622,1776617765.569731,1776617765.662863,93.13,366,1776617765.663455,1776617765.663807,1776617765.665149,1776617765.665184,1776617765.667685,1.69,0.04,2.5,4.23
steps-local-yolo,15,000015.jpg,6,plastic_verpakking,0.9509,1776617765.675379,1776617765.753257,77.88,963,1776617765.75444,1776617765.754804,1776617765.756087,1776617765.756122,1776617765.759052,1.65,0.04,2.93,4.61
