run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-cloud-yolo-tailscale,27,000029.jpg,24,plastic_verpakking,0.9519,1776617201.707862,1776617201.756477,48.62,3092,1776617201.763898,1776617201.764242,1776617201.775497,1776617201.77563,1776617201.788517,11.6,0.13,12.89,24.62
steps-cloud-yolo-tailscale,28,000030.jpg,3,metalen_verpakking,0.975,1776617201.795997,1776617201.825998,30.0,611,1776617201.826504,1776617201.826801,1776617201.838186,1776617201.838222,1776617201.851047,11.68,0.04,12.82,24.54
steps-cloud-yolo-tailscale,29,000031.jpg,1,plastic_verpakking,0.9449,1776617201.858452,1776617201.960369,101.92,377,1776617201.960756,1776617201.961148,1776617201.972632,1776617201.972664,1776617201.985395,11.88,0.03,12.73,24.64
steps-cloud-yolo-tailscale,30,000032.jpg,1,plastic_verpakking,0.8382,1776617201.992925,1776617202.077027,84.1,376,1776617202.077986,1776617202.078299,1776617202.090011,1776617202.090041,1776617202.102604,12.02,0.03,12.56,24.62
steps-cloud-yolo-tailscale,31,000033.jpg,1,plastic_verpakking,0.9541,1776617202.110166,1776617202.171685,61.52,376,1776617202.172154,1776617202.172431,1776617202.183941,1776617202.183973,1776617202.196821,11.79,0.03,12.85,24.67
steps-cloud-yolo-tailscale,32,000034.jpg,2,plastic_verpakking,0.9683,1776617202.200903,1776617202.275296,74.39,493,1776617202.276484,1776617202.276761,1776617202.288157,1776617202.288187,1776617202.300903,11.67,0.03,12.72,24.42
steps-cloud-yolo-tailscale,33,000035.jpg,1,metalen_verpakking,0.9525,1776617202.30835,1776617202.365957,57.61,377,1776617202.366455,1776617202.36675,1776617202.378159,1776617202.378192,1776617202.390906,11.7,0.03,12.71,24.45
steps-cloud-yolo-tailscale,34,000036.jpg,1,plastic_verpakking,0.9627,1776617202.398211,1776617202.485338,87.13,376,1776617202.486324,1776617202.486611,1776617202.497926,1776617202.497954,1776617202.510609,11.6,0.03,12.66,24.29
steps-cloud-yolo-tailscale,35,000037.JPG,8,plastic_verpakking,0.9174,1776617202.518066,1776617202.554171,36.1,1201,1776617202.555938,1776617202.556253,1776617202.567551,1776617202.567592,1776617202.580377,11.61,0.04,12.78,24.44
steps-cloud-yolo-tailscale,36,000038.jpg,3,metalen_verpakking,0.8841,1776617202.587709,1776617202.725765,138.06,617,1776617202.72676,1776617202.727048,1776617202.738571,1776617202.738606,1776617202.751269,11.81,0.03,12.66,24.51
steps-cloud-yolo-tailscale,37,000039.jpg,1,plastic_verpakking,0.956,1776617202.758539,1776617202.842807,84.27,375,1776617202.843669,1776617202.843958,1776617202.855309,1776617202.855339,1776617202.867902,11.64,0.03,12.56,24.23
steps-cloud-yolo-tailscale,38,000040.JPG,2,plastic_verpakking,0.6736,1776617202.875687,1776617202.938962,63.27,493,1776617202.939927,1776617202.94023,1776617202.951588,1776617202.951622,1776617202.964503,11.66,0.03,12.88,24.58
steps-cloud-yolo-tailscale,39,000041.JPG,2,metalen_verpakking,0.9576,1776617202.971707,1776617203.021708,50.0,496,1776617203.022608,1776617203.022928,1776617203.034332,1776617203.034367,1776617203.047065,11.72,0.03,12.7,24.46
steps-cloud-yolo-tailscale,40,000043.jpg,1,plastic_verpakking,0.897,1776617203.054699,1776617203.107581,52.88,374,1776617203.108062,1776617203.108317,1776617203.119678,1776617203.11971,1776617203.132267,11.62,0.03,12.56,24.21
steps-cloud-yolo-tailscale,41,000044.jpg,1,metalen_verpakking,0.9324,1776617203.140121,1776617203.189389,49.27,374,1776617203.189782,1776617203.190031,1776617203.201536,1776617203.201563,1776617203.213912,11.75,0.03,12.35,24.13
steps-cloud-yolo-tailscale,42,000045.JPG,2,plastic_verpakking,0.9511,1776617203.22158,1776617203.272024,50.44,493,1776617203.272379,1776617203.272679,1776617203.284155,1776617203.284183,1776617203.296987,11.78,0.03,12.8,24.61
steps-cloud-yolo-tailscale,43,000046.jpg,2,plastic_verpakking,0.9647,1776617203.304229,1776617203.342738,38.51,497,1776617203.343147,1776617203.343435,1776617203.354929,1776617203.354965,1776617203.367437,11.78,0.04,12.47,24.29
steps-cloud-yolo-tailscale,44,000047.jpg,2,plastic_verpakking,0.9732,1776617203.375162,1776617203.476712,101.55,495,1776617203.481269,1776617203.481596,1776617203.493323,1776617203.493358,1776617203.506049,12.05,0.04,12.69,24.78
steps-cloud-yolo-tailscale,45,000048.JPG,1,plastic_verpakking,0.9746,1776617203.513043,1776617203.564877,51.83,375,1776617203.565587,1776617203.565892,1776617203.577257,1776617203.577286,1776617203.590047,11.67,0.03,12.76,24.46
steps-cloud-yolo-tailscale,46,000049.jpg,5,plastic_verpakking,0.9309,1776617203.597642,1776617203.673067,75.42,857,1776617203.674039,1776617203.674345,1776617203.686184,1776617203.686228,1776617203.69887,12.15,0.04,12.64,24.83
steps-cloud-yolo-tailscale,47,000050.JPG,1,plastic_verpakking,0.7764,1776617203.706196,1776617203.7492,43.0,372,1776617203.74996,1776617203.75028,1776617203.761776,1776617203.761805,1776617203.77468,11.82,0.03,12.87,24.72
steps-cloud-yolo-tailscale,48,000051.jpg,2,plastic_verpakking,0.9529,1776617203.781921,1776617203.862489,80.57,496,1776617203.862856,1776617203.863168,1776617203.874789,1776617203.874823,1776617203.88755,11.93,0.03,12.73,24.69
steps-cloud-yolo-tailscale,49,000052.jpg,4,plastic_verpakking,0.9621,1776617203.894732,1776617203.950016,55.28,733,1776617203.951157,1776617203.951539,1776617203.963108,1776617203.963145,1776617203.975826,11.95,0.04,12.68,24.67
steps-cloud-yolo-tailscale,50,000053.jpg,2,plastic_verpakking,0.9575,1776617203.983147,1776617204.046343,63.2,496,1776617204.04712,1776617204.047433,1776617204.05852,1776617204.058554,1776617204.071446,11.4,0.03,12.89,24.33
steps-cloud-yolo-tailscale,51,000054.jpg,2,plastic_verpakking,0.9609,1776617204.079031,1776617204.136404,57.37,498,1776617204.137329,1776617204.137715,1776617204.149339,1776617204.149377,1776617204.162512,12.01,0.04,13.13,25.18
steps-cloud-yolo-tailscale,52,000055.jpg,3,plastic_verpakking,0.9623,1776617204.169534,1776617204.230659,61.12,617,1776617204.231745,1776617204.232133,1776617204.243571,1776617204.243604,1776617204.256231,11.83,0.03,12.63,24.49
steps-cloud-yolo-tailscale,53,000056.jpg,4,plastic_verpakking,0.9728,1776617204.263877,1776617204.323905,60.03,735,1776617204.325247,1776617204.325598,1776617204.337222,1776617204.337257,1776617204.350163,11.98,0.03,12.91,24.92
steps-cloud-yolo-tailscale,54,000057.jpg,2,plastic_verpakking,0.9192,1776617204.357313,1776617204.429089,71.78,496,1776617204.429781,1776617204.430292,1776617204.441907,1776617204.441946,1776617204.454768,12.13,0.04,12.82,24.99
steps-cloud-yolo-tailscale,55,000058.jpg,1,plastic_verpakking,0.9118,1776617204.46184,1776617204.518896,57.06,376,1776617204.519752,1776617204.520051,1776617204.531415,1776617204.531446,1776617204.544441,11.66,0.03,12.99,24.69
steps-cloud-yolo-tailscale,56,000059.jpg,2,plastic_verpakking,0.9232,1776617204.551722,1776617204.606619,54.9,494,1776617204.607286,1776617204.607639,1776617204.619236,1776617204.619272,1776617204.632222,11.95,0.04,12.95,24.94
steps-cloud-yolo-tailscale,57,000060.jpg,2,plastic_verpakking,0.6992,1776617204.639661,1776617204.672308,32.65,491,1776617204.673249,1776617204.673534,1776617204.685266,1776617204.685299,1776617204.698061,12.02,0.03,12.76,24.81
steps-cloud-yolo-tailscale,58,000061.jpg,1,plastic_verpakking,0.874,1776617204.705295,1776617204.740683,35.39,372,1776617204.740955,1776617204.74124,1776617204.752787,1776617204.752816,1776617204.765589,11.83,0.03,12.77,24.63
steps-cloud-yolo-tailscale,59,000062.jpg,2,plastic_verpakking,0.9629,1776617204.772788,1776617204.805132,32.34,490,1776617204.805532,1776617204.805817,1776617204.817387,1776617204.817417,1776617204.829882,11.85,0.03,12.46,24.35
steps-cloud-yolo-tailscale,60,000063.jpg,2,metalen_verpakking,0.9207,1776617204.837585,1776617204.885721,48.14,496,1776617204.886164,1776617204.886468,1776617204.89781,1776617204.897842,1776617204.911093,11.65,0.03,13.25,24.93
steps-cloud-yolo-tailscale,61,000064.jpg,5,plastic_verpakking,0.8952,1776617204.918045,1776617204.984236,66.19,845,1776617204.988371,1776617204.988696,1776617205.000336,1776617205.000371,1776617205.01304,11.97,0.03,12.67,24.67
steps-cloud-yolo-tailscale,62,000065.jpg,5,metalen_verpakking,0.9292,1776617205.020293,1776617205.128236,107.94,860,1776617205.129264,1776617205.129585,1776617205.141288,1776617205.141326,1776617205.154327,12.02,0.04,13.0,25.06
steps-cloud-yolo-tailscale,63,000066.jpg,3,plastic_verpakking,0.9233,1776617205.161116,1776617205.265266,104.15,610,1776617205.26602,1776617205.266338,1776617205.277858,1776617205.27789,1776617205.29061,11.84,0.03,12.72,24.59
